change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,0,1.0,"Facebook Community Standards Facebook gives people around the world the power to publish their own stories, see the world through the eyes of many other people, and connect and share wherever they go. The conversation that happens on Facebook – and the opinions expressed here – mirror the diversity of the people using Facebook. To balance the needs and interests of a global population, Facebook protects expression that meets the community standards outlined on this page. Please review these standards. They will help you understand what type of expression is acceptable, and what type of content may be reported and removed. Violence and Threats Safety is Facebook's top priority. We remove content and may escalate to law enforcement when we perceive a genuine risk of physical harm, or a direct threat to public safety. You may not credibly threaten others, or organize acts of real-world violence. Organizations with a record of terrorist or violent criminal activity are not allowed to maintain a presence on our site. We also prohibit promoting, planning or celebrating any of your actions if they have, or could, result in financial harm to others, including theft and vandalism.","Community Standards Read a letter from our team Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please keep in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Helping to Keep you Safe Encouraging respectful behavior Keeping your account and personal information secure Protecting your intellectual property",0.838,"- Facebook   Community   Standards - Facebook + Read + a + letter + from + our + team + Our + mission + is + to - gives ?     -
 + give   people - around - the - world   the   power   to - publish + share + and + make + the + world + more + open + and + connected. + Every + day, + people + come + to + Facebook + to + share   their - own   stories,   see   the   world   through   the   eyes   of - many - other + others ?      +
 - people,   and   connect + with + friends   and + causes. - share - wherever - they - go.   The - conversation + conversations ?             +
   that - happens ?       -
 + happen   on   Facebook + reflect - – - and - the - opinions - expressed - here - – - mirror   the   diversity   of - the + a + community + of + more + than + one + billion + people. + We + want   people + to + feel + safe + when   using   Facebook. - To - balance - the - needs - and - interests + For + that + reason, + we've + developed + a + set   of - a - global - population, - Facebook - protects - expression - that - meets - the - community ? ^
 + Community ? ^
 - standards ? ^
 + Standards, ? ^        +
   outlined + below. - on - this - page. - Please - review - these ? ^
 + These ? ^
 + policies - standards. - They   will   help   you   understand   what   type   of - expression + sharing   is - acceptable, + allowed + on + Facebook,   and   what   type   of   content   may   be   reported + to + us   and   removed. - Violence - and - Threats - Safety - is - Facebook's - top - priority. - We - remove - content - and + Because + of + the + diversity + of + our + global + community, + please + keep + in + mind + that + something + that   may - escalate + be + disagreeable + or + disturbing   to + you - law - enforcement - when - we - perceive - a - genuine - risk - of - physical - harm, - or - a - direct - threat - to - public - safety. - You   may   not + violate - credibly - threaten - others, - or + our ?  +
 + Community + Standards. + Helping - organize - acts - of - real-world - violence. - Organizations - with - a - record - of - terrorist - or - violent - criminal - activity - are - not - allowed   to + Keep + you + Safe + Encouraging + respectful + behavior + Keeping - maintain - a - presence - on - our - site. - We - also - prohibit - promoting, - planning - or - celebrating - any - of   your + account - actions - if - they - have, - or - could, - result - in - financial - harm - to - others, - including - theft   and - vandalism. + personal + information + secure + Protecting + your + intellectual + property"
modified/added,1,5.0,"Self-Harm Facebook takes threats of self-harm very seriously. We remove any promotion or encouragement of self-mutilation, eating disorders or hard drug abuse. We also work with suicide prevention agencies around the world to provide assistance for people in distress. Bullying and Harassment Facebook does not tolerate bullying or harassment. We allow users to speak freely on matters and people of public interest, but take action on all reports of abusive behavior directed at private individuals. Repeatedly targeting other users with unwanted friend requests or messages is a form of harassment.","Communication Tools Our global community is growing every day and we strive to welcome people to an environment free from abusive content. To do this, we rely on people like you. If you see something on Facebook that you believe violates our terms, please report it to us We have dedicated teams working around the world to review things you report to help make sure Facebook remains safe. Governments also sometimes ask us to remove content that violates local laws, but does not violate our Community Standards. If after careful legal review, we find that the content is illegal under local law, then we may make it unavailable only in the relevant country or territory. Please keep the following in mind: We may take action any time something violates the Community Standards outlined here. We may ask Page owners to associate their name and Facebook Profile with a Page that contains cruel and insensitive content, even if that content does not violate our policies. Reporting something doesn't guarantee that it will be removed because it may not violate our policies. Our content reviewers will look to you for information about why a post may violate our policies. If you report content, please tell us why the content should be removed (e.g., is it nudity or hate speech?) so that we can send it to the right person for review. Our review decisions may occasionally change after receiving additional context about specific posts or after seeing new, violating content appearing on a Page or Facebook Profile. The number of reports does not impact whether something will be removed. We never remove content simply because it has been reported a number of times. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on Facebook. For instance, we may warn someone for a first violation, but if we continue to see further violations we may restrict a person's ability to post on Facebook or ban the person from Facebook. Not all disagreeable or disturbing content violates our Community Standards. For this reason, we offer you the ability to customize and control what you see by unfollowing, blocking, and hiding the posts, people, Pages, and applications you donât want to see â and we encourage you to use these controls to better personalize your experience. Learn more People also often resolve issues they have about a piece of content by simply reaching out to the person who posted it. We've created tools for you to communicate directly with other people when youâre unhappy with posts, photos, or other content you see on Facebook.",0.626,"- Self-Harm + Communication + Tools + Our + global + community + is + growing + every + day + and + we + strive + to + welcome + people + to + an + environment + free + from + abusive + content. + To + do + this, + we + rely + on + people + like + you. + If + you + see + something + on   Facebook - takes - threats - of - self-harm - very - seriously. + that + you + believe + violates + our + terms, + please + report + it + to + us   We + have + dedicated + teams + working + around + the + world + to + review + things + you + report + to + help + make + sure + Facebook + remains + safe. + Governments + also + sometimes + ask + us + to   remove + content + that + violates + local + laws, + but - any - promotion - or - encouragement - of - self-mutilation, - eating - disorders - or - hard - drug - abuse. - We - also - work - with - suicide - prevention - agencies - around - the - world - to - provide - assistance - for - people - in - distress. - Bullying - and - Harassment - Facebook   does   not + violate - tolerate - bullying - or + our ?  +
 - harassment. + Community + Standards. + If + after + careful + legal + review, + we + find + that + the + content + is + illegal + under + local + law, + then + we + may + make + it + unavailable + only + in + the + relevant + country + or + territory. + Please + keep + the + following + in + mind:   We + may - allow - users - to - speak - freely - on - matters - and - people - of - public - interest, - but   take   action + any + time + something + violates + the + Community + Standards + outlined + here. + We + may + ask + Page + owners + to + associate + their + name + and + Facebook + Profile + with + a + Page + that + contains + cruel + and + insensitive + content, + even + if + that + content + does + not + violate + our + policies. + Reporting + something + doesn't + guarantee + that + it + will + be + removed + because + it + may + not + violate + our + policies. + Our + content + reviewers + will + look + to + you + for + information + about + why + a + post + may + violate + our + policies. + If + you + report + content, + please + tell + us + why + the + content + should + be + removed + (e.g., + is + it + nudity + or + hate + speech?) + so + that + we + can + send + it + to + the + right + person + for + review. + Our + review + decisions + may + occasionally + change + after + receiving + additional + context + about + specific + posts + or + after + seeing + new, + violating + content + appearing   on + a + Page + or + Facebook + Profile. + The + number + of + reports + does + not + impact + whether + something + will + be + removed. + We + never + remove + content + simply + because + it + has + been + reported + a + number + of + times. + The + consequences + for + violating + our + Community + Standards + vary + depending + on + the + severity + of + the + violation + and + the + person's + history + on + Facebook. + For + instance, + we + may + warn + someone + for + a + first + violation, + but + if + we + continue + to + see + further + violations + we + may + restrict + a + person's + ability + to + post + on + Facebook + or + ban + the + person + from + Facebook. + Not   all - reports + disagreeable + or + disturbing + content + violates + our + Community + Standards. + For + this + reason, + we + offer + you + the + ability + to + customize + and + control + what + you + see + by + unfollowing, + blocking, + and + hiding + the + posts, + people, + Pages, + and + applications + you + donât + want + to + see + â + and + we + encourage + you + to + use + these + controls + to + better + personalize + your + experience. + Learn + more + People + also + often + resolve + issues + they + have + about + a + piece   of - abusive - behavior + content + by + simply + reaching + out + to + the + person + who + posted + it. + We've + created + tools + for + you + to + communicate - directed ?       ^^
 + directly ?       ^^
 + with - at - private - individuals. - Repeatedly - targeting   other - users + people + when + youâre + unhappy   with + posts, + photos, - unwanted - friend - requests   or - messages - is - a - form - of - harassment. + other + content + you + see + on + Facebook."
modified/added,2,5.0,"Hate Speech Facebook does not permit hate speech, but distinguishes between serious and humorous speech. While we encourage you to challenge ideas, institutions, events, and practices, we do not permit individuals or groups to attack others based on their race, ethnicity, national origin, religion, sex, gender, sexual orientation, disability or medical condition.","Communication Tools Our global community is growing every day and we strive to welcome people to an environment free from abusive content. To do this, we rely on people like you. If you see something on Facebook that you believe violates our terms, please report it to us We have dedicated teams working around the world to review things you report to help make sure Facebook remains safe. Governments also sometimes ask us to remove content that violates local laws, but does not violate our Community Standards. If after careful legal review, we find that the content is illegal under local law, then we may make it unavailable only in the relevant country or territory. Please keep the following in mind: We may take action any time something violates the Community Standards outlined here. We may ask Page owners to associate their name and Facebook Profile with a Page that contains cruel and insensitive content, even if that content does not violate our policies. Reporting something doesn't guarantee that it will be removed because it may not violate our policies. Our content reviewers will look to you for information about why a post may violate our policies. If you report content, please tell us why the content should be removed (e.g., is it nudity or hate speech?) so that we can send it to the right person for review. Our review decisions may occasionally change after receiving additional context about specific posts or after seeing new, violating content appearing on a Page or Facebook Profile. The number of reports does not impact whether something will be removed. We never remove content simply because it has been reported a number of times. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on Facebook. For instance, we may warn someone for a first violation, but if we continue to see further violations we may restrict a person's ability to post on Facebook or ban the person from Facebook. Not all disagreeable or disturbing content violates our Community Standards. For this reason, we offer you the ability to customize and control what you see by unfollowing, blocking, and hiding the posts, people, Pages, and applications you donât want to see â and we encourage you to use these controls to better personalize your experience. Learn more People also often resolve issues they have about a piece of content by simply reaching out to the person who posted it. We've created tools for you to communicate directly with other people when youâre unhappy with posts, photos, or other content you see on Facebook.",0.594,"- Hate - Speech + Communication + Tools + Our + global + community + is + growing + every + day + and + we + strive + to + welcome + people + to + an + environment + free + from + abusive + content. + To + do + this, + we + rely + on + people + like + you. + If + you + see + something + on   Facebook + that + you + believe + violates + our + terms, + please + report + it + to + us + We + have + dedicated + teams + working + around + the + world + to + review + things + you + report + to + help + make + sure + Facebook + remains + safe. + Governments + also + sometimes + ask + us + to + remove + content + that + violates + local + laws, + but   does   not - permit + violate + our + Community + Standards. + If + after + careful + legal + review, + we + find + that + the + content + is + illegal + under + local + law, + then + we + may + make + it + unavailable + only + in + the + relevant + country + or + territory. + Please + keep + the + following + in + mind: + We + may + take + action + any + time + something + violates + the + Community + Standards + outlined + here. + We + may + ask + Page + owners + to + associate + their + name + and + Facebook + Profile + with + a + Page + that + contains + cruel + and + insensitive + content, + even + if + that + content + does + not + violate + our + policies. + Reporting + something + doesn't + guarantee + that + it + will + be + removed + because + it + may + not + violate + our + policies. + Our + content + reviewers + will + look + to + you + for + information + about + why + a + post + may + violate + our + policies. + If + you + report + content, + please + tell + us + why + the + content + should + be + removed + (e.g., + is + it + nudity + or   hate - speech, ?       ^
 + speech?) ?       ^^
 + so + that + we + can + send + it + to + the + right + person + for + review. + Our + review + decisions + may + occasionally + change + after + receiving + additional + context + about + specific + posts + or + after + seeing + new, + violating + content + appearing + on + a + Page + or + Facebook + Profile. + The + number + of + reports + does + not + impact + whether + something + will + be + removed. + We + never + remove + content + simply + because + it + has + been + reported + a + number + of + times. + The + consequences + for + violating + our + Community + Standards + vary + depending + on + the + severity + of + the + violation + and + the + person's + history + on + Facebook. + For + instance, + we + may + warn + someone + for + a + first + violation,   but - distinguishes - between - serious + if + we + continue + to + see + further + violations + we + may + restrict + a + person's + ability + to + post + on + Facebook + or + ban + the + person + from + Facebook. + Not + all + disagreeable + or + disturbing + content + violates + our + Community + Standards. + For + this + reason, + we + offer + you + the + ability + to + customize   and - humorous - speech. - While + control + what + you + see + by + unfollowing, + blocking, + and + hiding + the + posts, + people, + Pages, + and + applications + you + donât + want + to + see + â + and   we   encourage   you   to - challenge - ideas, - institutions, - events, - and - practices, - we - do - not - permit - individuals + use + these + controls + to + better + personalize + your + experience. + Learn + more + People + also + often + resolve + issues + they + have + about + a + piece + of + content + by + simply + reaching + out + to + the + person + who + posted + it. + We've + created + tools - or + for ? +
 - groups + you   to - attack + communicate + directly + with - others ?      -
 + other - based - on + people + when + youâre + unhappy + with + posts, + photos, + or - their ?    -
 + other ? +
 + content + you + see + on + Facebook. - race, - ethnicity, - national - origin, - religion, - sex, - gender, - sexual - orientation, - disability - or - medical - condition."
modified/added,3,1.0,"Graphic Content Facebook has long been a place where people turn to share their experiences and raise awareness about issues important to them. Sometimes, those experiences and issues involve graphic content that is of public interest or concern, such as human rights abuses or acts of terrorism. In many instances, when people share this type of content, it is to condemn it. However, graphic images shared for sadistic effect or to celebrate or glorify violence have no place on our site. When people share any content, we expect that they will share in a responsible manner. That includes choosing carefully the audience for the content. For graphic videos, people should warn their audience about the nature of the content in the video so that their audience can make an informed choice about whether to watch it.","Community Standards Read a letter from our team Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please keep in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Helping to Keep you Safe Encouraging respectful behavior Keeping your account and personal information secure Protecting your intellectual property",0.583,"- Graphic - Content + Community + Standards + Read + a + letter + from + our + team + Our + mission + is + to + give + people + the + power + to + share + and + make + the + world + more + open + and + connected. + Every + day, + people + come + to   Facebook - has - long - been - a - place - where - people - turn   to   share   their - experiences + stories, + see + the + world + through + the + eyes + of + others   and - raise - awareness - about - issues - important + connect + with + friends + and + causes. + The + conversations + that + happen + on + Facebook + reflect + the + diversity + of + a + community + of + more + than + one + billion + people. + We + want + people   to + feel + safe + when + using + Facebook. + For - them. - Sometimes, - those - experiences - and - issues - involve - graphic - content   that - is + reason, + we've + developed + a + set   of + Community + Standards, + outlined + below. + These + policies + will + help + you + understand + what - public - interest - or - concern, - such - as - human - rights - abuses - or - acts - of - terrorism. - In - many - instances, - when - people - share - this   type   of + sharing - content, - it   is + allowed + on + Facebook, + and + what + type + of + content + may + be + reported   to + us + and + removed. + Because - condemn - it. - However, - graphic - images - shared - for - sadistic - effect - or - to - celebrate - or - glorify - violence - have - no - place - on - our - site. - When - people - share - any - content, - we - expect - that - they - will - share - in - a - responsible - manner. - That - includes - choosing - carefully - the - audience - for - the - content. - For - graphic - videos, - people - should - warn - their - audience - about - the - nature   of   the - content + diversity + of + our + global + community, + please + keep   in + mind - the - video - so   that + something + that + may + be + disagreeable + or + disturbing - their - audience - can - make - an - informed - choice - about - whether   to - watch - it. + you + may + not + violate + our + Community + Standards. + Helping + to + Keep + you + Safe + Encouraging + respectful + behavior + Keeping + your + account + and + personal + information + secure + Protecting + your + intellectual + property"
modified/added,4,1.0,"Nudity Facebook has a strict policy against the sharing of pornographic content and any explicitly sexual content where a minor is involved. We also impose limitations on the display of nudity. We aspire to respect people’s right to share content of personal importance, whether those are photos of a sculpture like Michelangelo's David or family photos of a child breastfeeding. Identity and Privacy On Facebook people connect using their real names and identities. We ask that you refrain from publishing the personal information of others without their consent. Claiming to be another person, creating a false presence for an organization, or creating multiple accounts undermines community and violates Facebook's terms.","Community Standards Read a letter from our team Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please keep in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Helping to Keep you Safe Encouraging respectful behavior Keeping your account and personal information secure Protecting your intellectual property",0.69,"- Nudity - Facebook - has + Community + Standards + Read   a - strict - policy - against + letter + from + our + team + Our + mission + is + to + give + people   the + power - sharing - of - pornographic - content - and - any - explicitly - sexual - content - where - a - minor - is - involved. - We - also - impose - limitations - on - the - display - of - nudity. - We - aspire - to - respect - people’s - right   to   share - content + and + make + the + world + more + open + and + connected. + Every + day, + people + come + to + Facebook + to + share + their + stories, + see + the + world + through + the + eyes   of - personal - importance, - whether + others + and + connect + with + friends + and + causes. + The + conversations + that + happen + on + Facebook + reflect - those ?   --
 + the + diversity - are - photos   of   a - sculpture - like - Michelangelo's - David + community + of + more + than + one + billion + people. + We + want + people + to + feel + safe + when + using + Facebook. + For + that + reason, + we've + developed + a + set + of + Community + Standards, + outlined + below. + These + policies + will + help + you + understand + what + type + of + sharing + is + allowed + on + Facebook, + and + what + type + of + content + may + be + reported + to + us + and + removed. + Because + of + the + diversity + of + our + global + community, + please + keep + in + mind + that + something + that + may + be + disagreeable   or - family - photos - of - a - child - breastfeeding. - Identity + disturbing + to + you + may + not + violate + our + Community + Standards. + Helping + to + Keep + you + Safe + Encouraging + respectful + behavior + Keeping + your + account   and - Privacy - On - Facebook - people - connect - using - their - real - names - and - identities. - We - ask - that - you - refrain - from - publishing - the   personal   information + secure + Protecting + your + intellectual + property - of - others - without - their - consent. - Claiming - to - be - another - person, - creating - a - false - presence - for - an - organization, - or - creating - multiple - accounts - undermines - community - and - violates - Facebook's - terms."
modified/added,5,1.0,"Intellectual Property Before sharing content on Facebook, please be sure you have the right to do so. We ask that you respect copyrights, trademarks, and other legal rights.","Community Standards Read a letter from our team Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please keep in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Helping to Keep you Safe Encouraging respectful behavior Keeping your account and personal information secure Protecting your intellectual property",0.68,"- Intellectual - Property - Before + Community + Standards + Read + a + letter + from + our + team + Our + mission + is + to + give + people + the + power + to + share + and + make + the + world + more + open + and + connected. + Every + day, + people + come + to + Facebook + to + share + their + stories, + see + the + world + through + the + eyes + of + others + and + connect + with + friends + and + causes. + The + conversations + that + happen + on + Facebook + reflect + the + diversity + of + a + community + of + more + than + one + billion + people. + We + want + people + to + feel + safe + when + using + Facebook. + For + that + reason, + we've + developed + a + set + of + Community + Standards, + outlined + below. + These + policies + will + help + you + understand + what + type + of   sharing - content + is + allowed   on   Facebook, + and + what + type + of + content + may + be + reported + to + us + and + removed. + Because + of + the + diversity + of + our + global + community,   please + keep + in + mind + that + something + that + may   be - sure + disagreeable + or + disturbing + to   you - have - the - right + may + not + violate + our + Community + Standards. + Helping   to + Keep - do - so. - We - ask - that   you + Safe + Encouraging - respect + respectful ?        +++
 - copyrights, - trademarks, + behavior + Keeping + your + account   and - other - legal - rights. + personal + information + secure + Protecting + your + intellectual + property"
modified/added,6,5.0,"Regulated Goods It is not permitted to complete transactions involving regulated goods on our platform. If you post an offer involving firearms, alcohol, tobacco, or adult products, we expect you to make sure you’re following all applicable laws and consider carefully the audience for that content. If you are using a Page to connect with your customers and other audiences, you need to abide by our Pages Terms Phishing and Spam We take the safety of our members seriously and work to prevent attempts to compromise their privacy or security. We also ask that you respect our members by not contacting them for commercial purposes without their consent.","Communication Tools Our global community is growing every day and we strive to welcome people to an environment free from abusive content. To do this, we rely on people like you. If you see something on Facebook that you believe violates our terms, please report it to us We have dedicated teams working around the world to review things you report to help make sure Facebook remains safe. Governments also sometimes ask us to remove content that violates local laws, but does not violate our Community Standards. If after careful legal review, we find that the content is illegal under local law, then we may make it unavailable only in the relevant country or territory. Please keep the following in mind: We may take action any time something violates the Community Standards outlined here. We may ask Page owners to associate their name and Facebook Profile with a Page that contains cruel and insensitive content, even if that content does not violate our policies. Reporting something doesn't guarantee that it will be removed because it may not violate our policies. Our content reviewers will look to you for information about why a post may violate our policies. If you report content, please tell us why the content should be removed (e.g., is it nudity or hate speech?) so that we can send it to the right person for review. Our review decisions may occasionally change after receiving additional context about specific posts or after seeing new, violating content appearing on a Page or Facebook Profile. The number of reports does not impact whether something will be removed. We never remove content simply because it has been reported a number of times. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on Facebook. For instance, we may warn someone for a first violation, but if we continue to see further violations we may restrict a person's ability to post on Facebook or ban the person from Facebook. Not all disagreeable or disturbing content violates our Community Standards. For this reason, we offer you the ability to customize and control what you see by unfollowing, blocking, and hiding the posts, people, Pages, and applications you donât want to see â and we encourage you to use these controls to better personalize your experience. Learn more People also often resolve issues they have about a piece of content by simply reaching out to the person who posted it. We've created tools for you to communicate directly with other people when youâre unhappy with posts, photos, or other content you see on Facebook.",0.422,"- Regulated - Goods - It + Communication + Tools + Our + global + community   is - not - permitted + growing + every + day + and + we + strive   to - complete - transactions - involving - regulated - goods + welcome + people + to + an + environment + free + from + abusive + content. + To + do + this, + we + rely   on - our - platform. + people + like + you.   If   you - post - an - offer - involving - firearms, - alcohol, - tobacco, + see + something + on + Facebook + that + you + believe + violates - or + our ?  +
 + terms, + please + report + it - adult - products, - we - expect - you   to + us + We + have + dedicated + teams + working + around + the + world + to + review + things + you + report + to + help   make   sure - you’re + Facebook + remains + safe. + Governments + also + sometimes + ask + us + to + remove + content + that + violates + local + laws, + but + does + not + violate + our + Community + Standards. + If + after + careful + legal + review, + we + find + that + the + content + is + illegal + under + local + law, + then + we + may + make + it + unavailable + only + in + the + relevant + country + or + territory. + Please + keep + the   following + in + mind: + We + may + take + action + any + time + something + violates + the + Community + Standards + outlined + here. + We + may + ask + Page + owners + to + associate + their + name + and + Facebook + Profile + with + a + Page + that + contains + cruel + and + insensitive + content, + even + if + that + content + does + not + violate + our + policies. + Reporting + something + doesn't + guarantee + that + it + will + be + removed + because + it + may + not + violate + our + policies. + Our + content + reviewers + will + look + to + you + for + information + about + why + a + post + may + violate + our + policies. + If + you + report + content, + please + tell + us + why + the + content + should + be + removed + (e.g., + is + it + nudity + or + hate + speech?) + so + that + we + can + send + it + to + the + right + person + for + review. + Our + review + decisions + may + occasionally + change + after + receiving + additional + context + about + specific + posts + or + after + seeing + new, + violating + content + appearing + on + a + Page + or + Facebook + Profile. + The + number + of + reports + does + not + impact + whether + something + will + be + removed. + We + never + remove + content + simply + because + it + has + been + reported + a + number + of + times. + The + consequences + for + violating + our + Community + Standards + vary + depending + on + the + severity + of + the + violation + and + the + person's + history + on + Facebook. + For + instance, + we + may + warn + someone + for + a + first + violation, + but + if + we + continue + to + see + further + violations + we + may + restrict + a + person's + ability + to + post + on + Facebook + or + ban + the + person + from + Facebook. + Not   all - applicable - laws + disagreeable + or + disturbing + content + violates + our + Community + Standards. + For + this + reason, + we + offer + you + the + ability + to + customize   and - consider - carefully + control + what + you + see + by + unfollowing, + blocking, + and + hiding + the + posts, + people, + Pages, + and + applications + you + donât + want + to + see + â + and + we + encourage + you + to + use + these + controls + to + better + personalize + your + experience. + Learn + more + People + also + often + resolve + issues - the + they ?    +
 - audience + have + about + a + piece + of + content + by + simply + reaching + out + to + the + person + who + posted + it. + We've + created + tools   for - that - content. - If   you - are - using - a - Page   to - connect + communicate + directly   with - your - customers - and   other - audiences, - you - need - to - abide - by + people + when + youâre + unhappy + with + posts, + photos, - our ?  -
 + or - Pages - Terms - Phishing - and - Spam - We - take - the - safety - of - our - members - seriously - and - work - to - prevent - attempts - to - compromise - their ?    -
 + other ? +
 - privacy - or - security. - We - also - ask - that - you - respect - our - members - by - not - contacting - them - for - commercial - purposes - without - their - consent. ?    ^   -
 + content ?    ^
 + you + see + on + Facebook."
modified/added,7,21.0,"Security We take the safety of our members seriously and work to prevent attempts to compromise their privacy or security, including those that use fraud or deception. Additionally, we ask that you respect our members by not contacting them for commercial purposes without their consent.",Privacy,0.497,"- Security - We - take - the - safety - of - our - members - seriously - and - work - to - prevent - attempts - to - compromise - their - privacy ? ^
 + Privacy ? ^
 - or - security, - including - those - that - use - fraud - or - deception. - Additionally, - we - ask - that - you - respect - our - members - by - not - contacting - them - for - commercial - purposes - without - their - consent."
